episode,reward,length,crashed
0,21.050277341831006,30,0
1,20.454545454545464,30,0
2,20.964773023416377,30,0
3,20.454545454545464,30,0
4,20.454545454545464,30,0
5,20.454545454545464,30,0
6,21.695796218482446,30,0
7,20.454545454545464,30,0
8,20.454545454545464,30,0
9,20.454545454545464,30,0
10,20.454545454545464,30,0
11,20.454545454545464,30,0
12,20.454545454545464,30,0
13,20.89102297762569,30,0
14,20.454545454545464,30,0
15,20.454545454545464,30,0
16,20.454545454545464,30,0
17,20.454545454545464,30,0
18,21.924927278052976,30,0
19,23.42879698105554,30,0
20,20.454545454545464,30,0
21,20.454545454545464,30,0
22,20.454545454545464,30,0
23,20.454545454545464,30,0
24,20.454545454545464,30,0
25,21.28179283844405,30,0
26,20.454545454545464,30,0
27,22.203547099362993,30,0
28,20.454545454545464,30,0
29,20.454545454545464,30,0
30,20.454545454545464,30,0
31,20.454545454545464,30,0
32,22.792281730831576,30,0
33,20.454545454545464,30,0
34,20.454545454545464,30,0
35,20.454545454545464,30,0
36,20.454545454545464,30,0
37,20.454545454545464,30,0
38,21.721997269028257,30,0
39,20.454545454545464,30,0
40,21.715210552075554,30,0
41,20.454545454545464,30,0
42,20.454545454545464,30,0
43,20.454545454545464,30,0
44,20.454545454545464,30,0
45,20.454545454545464,30,0
46,20.539880180614233,30,0
47,21.281792838439838,30,0
48,20.454545454545464,30,0
49,20.454545454545464,30,0
