episode,global_step,episode_reward,episode_length,epsilon,mean_loss,crashed
0,10,7.650046494944285,10,0.99988125,nan,1
1,14,2.566053658965085,4,0.99983375,nan,1
2,21,5.396439714991074,7,0.999750625,nan,1
3,45,17.977972123632675,24,0.999465625,nan,1
4,52,5.7641073717944815,7,0.9993825,nan,1
5,62,8.760148607276456,10,0.99926375,nan,1
6,80,15.051684223726749,18,0.99905,nan,1
7,88,6.365307290247888,8,0.998955,nan,1
8,95,5.76015455078024,7,0.998871875,nan,1
9,99,2.398545842333599,4,0.998824375,nan,1
10,109,6.502401151086006,10,0.998705625,nan,1
11,121,9.95818433567252,12,0.998563125,nan,1
12,137,10.832122248313873,16,0.998373125,nan,1
13,162,17.947955057489654,25,0.99807625,nan,1
14,179,13.322222668064711,17,0.997874375,nan,1
15,191,9.640751363540424,12,0.997731875,nan,1
16,196,3.1978648406798618,5,0.9976725,nan,1
17,224,21.580550425243583,28,0.99734,nan,1
18,232,5.66413250313833,8,0.997245,nan,1
19,243,8.757674029273801,11,0.997114375,nan,1
20,273,22.00434760552826,30,0.996758125,nan,0
21,295,18.359820774771368,22,0.996496875,nan,1
22,309,9.662766205613696,14,0.996330625,nan,1
23,319,6.809239392323058,10,0.996211875,nan,1
24,330,8.232344004175772,11,0.99608125,nan,1
25,337,4.570938072158501,7,0.995998125,nan,1
26,352,12.580121822527364,15,0.99582,nan,1
27,359,4.725205530798327,7,0.995736875,nan,1
28,378,15.244173480721106,19,0.99551125,nan,1
29,384,4.329157252537996,6,0.99544,nan,1
30,387,1.7671529078868469,3,0.995404375,nan,1
31,393,4.523339148416133,6,0.995333125,nan,1
32,409,10.862436222469357,16,0.995143125,nan,1
33,414,3.595472942834504,5,0.99508375,nan,1
34,425,8.680369114789913,11,0.994953125,nan,1
35,434,7.154264881594236,9,0.99484625,nan,1
36,438,2.7572907203812167,4,0.99479875,nan,1
37,450,10.388626534532984,12,0.99465625,nan,1
38,464,9.498912702440585,14,0.99449,nan,1
39,478,10.504470021076154,14,0.99432375,nan,1
40,495,11.674144609276643,17,0.994121875,nan,1
41,498,2.05230133899174,3,0.99408625,nan,1
42,506,6.5514066766810375,8,0.99399125,nan,1
43,536,20.89100726667414,30,0.993635,nan,0
44,539,1.6000542239715385,3,0.993599375,nan,1
45,542,1.9602091714909529,3,0.99356375,nan,1
46,548,4.359546732853506,6,0.9934925,nan,1
47,557,5.573863636363636,9,0.993385625,nan,1
48,560,1.9583725634928275,3,0.99335,nan,1
49,565,3.200118922011725,5,0.993290625,nan,1
50,571,3.762182205969962,6,0.993219375,nan,1
51,579,6.356963332006142,8,0.993124375,nan,1
52,590,7.811747892195349,11,0.99299375,nan,1
53,594,2.7924868791082558,4,0.99294625,nan,1
54,603,6.883330449025161,9,0.992839375,nan,1
55,611,6.396579478950751,8,0.992744375,nan,1
56,614,1.6000542239715385,3,0.99270875,nan,1
57,644,23.630812029370876,30,0.9923525,nan,0
58,659,13.161707364129786,15,0.992174375,nan,1
59,670,9.053109392437552,11,0.99204375,nan,1
60,676,3.6455087694260837,6,0.9919725,nan,1
61,701,19.390871836040095,25,0.991675625,nan,1
62,731,22.180756740502765,30,0.991319375,nan,0
63,736,3.758512897770461,5,0.99126,nan,1
64,743,4.764362267081551,7,0.991176875,nan,1
65,749,4.400025776490735,6,0.991105625,nan,1
66,775,20.492150607399793,26,0.990796875,nan,1
67,781,4.758477724437154,6,0.990725625,nan,1
68,791,7.464276455096001,10,0.990606875,nan,1
69,795,2.403409090909091,4,0.990559375,nan,1
70,811,10.867158195640952,16,0.990369375,nan,1
71,821,7.511518861030285,10,0.990250625,nan,1
72,834,10.288569569942538,13,0.99009625,nan,1
73,838,2.5942352256076413,4,0.99004875,nan,1
74,841,1.7649228101313175,3,0.990013125,nan,1
75,849,5.997885299513539,8,0.989918125,nan,1
76,855,5.0783363689620575,6,0.989846875,nan,1
77,871,13.759901976994584,16,0.989656875,nan,1
78,876,3.214897722553548,5,0.9895975,nan,1
79,886,7.19760779861874,10,0.98947875,nan,1
80,901,10.574652061756362,15,0.989300625,nan,1
81,915,9.270893494431924,14,0.989134375,nan,1
82,920,3.7541898920606838,5,0.989075,nan,1
83,936,11.257896538082479,16,0.988885,nan,1
84,960,19.15938865271932,24,0.9886,nan,1
85,983,18.533953501807286,23,0.988326875,nan,1
86,998,12.606637352218737,15,0.98814875,nan,1
87,1004,4.165698652617526,6,0.9880775,nan,1
88,1007,1.7840426852069369,3,0.988041875,nan,1
89,1016,7.3583414546229475,9,0.987935,nan,1
90,1021,3.052207256003074,5,0.987875625,nan,1
91,1049,19.046797440474553,28,0.987543125,nan,1
92,1056,5.03233336111363,7,0.98746,nan,1
93,1086,21.72991206121545,30,0.98710375,nan,0
94,1091,3.454178993118006,5,0.987044375,nan,1
95,1099,5.521609306470867,8,0.986949375,nan,1
96,1113,10.096248886820952,14,0.986783125,nan,1
97,1121,6.400115077270403,8,0.986688125,nan,1
98,1128,5.0556331303325255,7,0.986605,nan,1
99,1137,6.0034949997617035,9,0.986498125,nan,1
100,1140,1.6000542239715385,3,0.9864625,nan,1
101,1170,21.612078581851957,30,0.98610625,nan,0
102,1173,1.9602091714909529,3,0.986070625,nan,1
103,1178,3.395371589244005,5,0.98601125,nan,1
104,1190,10.559434806497885,12,0.98586875,nan,1
105,1193,1.7649228101313175,3,0.985833125,nan,1
106,1208,13.951622367520663,15,0.985655,nan,1
107,1211,1.9583725634928275,3,0.985619375,nan,1
108,1231,15.845091985447775,20,0.985381875,nan,1
109,1237,4.5574194479557875,6,0.985310625,nan,1
110,1241,2.403409090909091,4,0.985263125,nan,1
111,1247,4.5832112243786245,6,0.985191875,nan,1
112,1249,1.0508547873237735,2,0.985168125,nan,1
113,1279,21.279691095604086,30,0.984811875,nan,0
114,1288,6.1264048463759515,9,0.984705,nan,1
115,1300,9.132181287500456,12,0.9845625,nan,1
116,1313,8.977236326177822,13,0.984408125,nan,1
117,1321,5.245136654099367,8,0.984313125,nan,1
118,1344,15.401401170610818,23,0.98404,nan,1
119,1357,8.694336606173005,13,0.983885625,nan,1
120,1368,9.360571893982181,11,0.983755,nan,1
121,1380,9.048777172351699,12,0.9836125,nan,1
122,1400,14.966830792957893,20,0.983375,nan,1
123,1415,13.392435973457971,15,0.983196875,nan,1
124,1430,12.562277048615856,15,0.98301875,nan,1
125,1440,8.552728864172117,10,0.9829,nan,1
126,1445,3.9571975996624404,5,0.982840625,nan,1
127,1460,10.933984637920156,15,0.9826625,nan,1
128,1468,5.520391380783348,8,0.9825675,nan,1
129,1495,21.060669198775564,27,0.982246875,nan,1
130,1501,4.561489487084988,6,0.982175625,nan,1
131,1504,1.9583725634928275,3,0.98214,nan,1
132,1512,5.211736672619567,8,0.9820450000000001,nan,1
133,1520,6.355758480086525,8,0.98195,nan,1
